Id,Label,timeset,clustering,triangles,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,eigencentrality
0,,,0.972771,330645,825,18145,2,0.992832,0.99639,21.926982,0.035499,0.035499,8,0.001377,0,0.997963
1,,,0.972154,330435,825,26623,2,0.992832,0.99639,20.070224,0.035488,0.035488,3,0.001922,0,0.997652
2,,,0.98773,314101,798,8668,2,0.961806,0.980144,6.081154,0.034595,0.034595,6,0.000756,0,0.972531
3,,,0.983152,324517,813,11655,2,0.978799,0.98917,9.136372,0.035167,0.035167,8,0.000949,0,0.988623
4,,,0.974446,325614,818,17015,2,0.984597,0.992178,21.961516,0.035227,0.035227,4,0.001283,0,0.990307
5,,,0.96965,331185,827,30417,2,0.99521,0.997593,26.281997,0.035529,0.035529,4,0.002164,0,0.998796
6,,,0.991132,303438,783,3965,2,0.945392,0.971119,4.52394,0.034007,0.034007,6,0.000447,0,0.955993
7,,,0.971138,330891,826,22782,2,0.994019,0.996992,23.915503,0.035513,0.035513,2,0.001672,0,0.998343
8,,,0.989421,303689,784,3784,2,0.946469,0.971721,6.577457,0.034023,0.034023,8,0.000432,0,0.956451
9,,,0.976208,323813,815,9122,2,0.98111,0.990373,20.932633,0.035129,0.035129,2,0.000782,0,0.98756
10,,,0.972951,330706,825,24217,2,0.992832,0.99639,18.717104,0.035503,0.035503,3,0.001762,0,0.998063
11,,,0.966967,331869,829,28835,2,0.997599,0.998797,29.216735,0.035566,0.035566,4,0.002065,0,0.999837
12,,,0.971352,329362,824,11541,2,0.991647,0.995788,45.970584,0.03543,0.03543,6,0.000954,0,0.996011
13,,,0.974823,330539,824,28630,2,0.991647,0.995788,15.631984,0.035493,0.035493,4,0.002042,0,0.997799
14,,,0.977783,327529,819,15904,2,0.985765,0.99278,13.865238,0.035331,0.035331,8,0.00123,0,0.993225
15,,,0.974681,330491,824,22224,2,0.991647,0.995788,15.945445,0.035491,0.035491,8,0.00164,0,0.997733
16,,,0.982,327336,817,12001,2,0.983432,0.991576,9.335062,0.03532,0.03532,2,0.000975,0,0.992913
17,,,0.974661,329682,823,17117,2,0.990465,0.995187,16.179189,0.035447,0.035447,8,0.001311,0,0.996501
18,,,0.978652,329424,821,19527,2,0.988109,0.993983,11.815383,0.035433,0.035433,6,0.001461,0,0.996101
