,drug,SE
0,7,SE1
0,30,SE1
0,33,SE1
0,35,SE1
0,39,SE1
0,53,SE1
0,63,SE1
0,93,SE1
0,105,SE1
0,126,SE1
0,139,SE1
0,168,SE1
0,180,SE1
0,189,SE1
0,195,SE1
0,197,SE1
0,217,SE1
0,223,SE1
0,224,SE1
0,225,SE1
0,231,SE1
0,263,SE1
0,281,SE1
0,295,SE1
0,315,SE1
0,316,SE1
0,369,SE1
0,400,SE1
0,413,SE1
0,455,SE1
0,460,SE1
0,476,SE1
0,483,SE1
0,535,SE1
0,537,SE1
0,550,SE1
0,569,SE1
0,595,SE1
0,599,SE1
0,602,SE1
0,620,SE1
0,671,SE1
0,693,SE1
0,722,SE1
0,738,SE1
0,745,SE1
0,746,SE1
0,756,SE1
0,770,SE1
0,794,SE1
0,795,SE1
0,821,SE1
0,822,SE1
0,825,SE1
0,20,SE2
0,25,SE2
0,33,SE2
0,47,SE2
0,49,SE2
0,58,SE2
0,82,SE2
0,98,SE2
0,112,SE2
0,129,SE2
0,137,SE2
0,138,SE2
0,155,SE2
0,160,SE2
0,168,SE2
0,177,SE2
0,187,SE2
0,215,SE2
0,220,SE2
0,231,SE2
0,234,SE2
0,246,SE2
0,249,SE2
0,252,SE2
0,266,SE2
0,277,SE2
0,320,SE2
0,327,SE2
0,345,SE2
0,356,SE2
0,366,SE2
0,370,SE2
0,375,SE2
0,377,SE2
0,381,SE2
0,406,SE2
0,409,SE2
0,415,SE2
0,417,SE2
0,445,SE2
0,452,SE2
0,453,SE2
0,454,SE2
0,476,SE2
0,485,SE2
0,490,SE2
0,498,SE2
0,523,SE2
0,533,SE2
0,537,SE2
0,552,SE2
0,559,SE2
0,567,SE2
0,570,SE2
0,575,SE2
0,584,SE2
0,602,SE2
0,614,SE2
0,616,SE2
0,631,SE2
0,635,SE2
0,650,SE2
0,653,SE2
0,659,SE2
0,660,SE2
0,670,SE2
0,671,SE2
0,677,SE2
0,690,SE2
0,691,SE2
0,693,SE2
0,698,SE2
0,702,SE2
0,724,SE2
0,760,SE2
0,761,SE2
0,765,SE2
0,766,SE2
0,788,SE2
0,801,SE2
0,804,SE2
0,807,SE2
0,808,SE2
0,819,SE2
0,821,SE2
0,0,SE3
0,1,SE3
0,3,SE3
0,4,SE3
0,5,SE3
0,7,SE3
0,10,SE3
0,12,SE3
0,13,SE3
0,14,SE3
0,15,SE3
0,16,SE3
0,17,SE3
0,18,SE3
0,19,SE3
0,20,SE3
0,21,SE3
0,24,SE3
0,25,SE3
0,28,SE3
0,29,SE3
0,30,SE3
0,32,SE3
0,33,SE3
0,34,SE3
0,35,SE3
0,36,SE3
0,37,SE3
0,38,SE3
0,40,SE3
